MatchId,BotType,Result,TimeMs,TotalClicks
169,RandomBot,DEFEAT,0,4
170,RandomBot,VICTORY,0,1
171,RandomBot,DEFEAT,0,7
172,RandomBot,VICTORY,0,1
173,RandomBot,DEFEAT,0,3
174,RandomBot,VICTORY,0,1
175,RandomBot,DEFEAT,0,3
176,RandomBot,VICTORY,0,3
177,RandomBot,DEFEAT,0,2
178,RandomBot,DEFEAT,0,5
179,RandomBot,DEFEAT,0,2
180,RandomBot,VICTORY,0,2
181,RandomBot,DEFEAT,0,2
182,RandomBot,DEFEAT,0,6
183,RandomBot,VICTORY,0,1
184,RandomBot,DEFEAT,0,4
185,RandomBot,DEFEAT,0,2
186,RandomBot,DEFEAT,0,2
187,RandomBot,DEFEAT,0,3
188,RandomBot,DEFEAT,0,4
189,RandomBot,DEFEAT,0,3
190,RandomBot,DEFEAT,0,3
191,RandomBot,DEFEAT,0,4
192,RandomBot,VICTORY,0,5
193,RandomBot,DEFEAT,0,2
194,RandomBot,DEFEAT,0,2
195,RandomBot,VICTORY,0,1
196,RandomBot,DEFEAT,0,1
197,RandomBot,VICTORY,0,2
198,RandomBot,VICTORY,0,2
199,RandomBot,DEFEAT,0,3
200,RandomBot,DEFEAT,0,2
201,RandomBot,VICTORY,0,1
202,RandomBot,VICTORY,0,1
203,RandomBot,DEFEAT,0,3
204,RandomBot,DEFEAT,0,3
205,RandomBot,DEFEAT,0,3
206,RandomBot,DEFEAT,0,3
207,RandomBot,VICTORY,0,4
208,RandomBot,DEFEAT,0,2
209,RandomBot,VICTORY,0,2
210,RandomBot,DEFEAT,0,2
211,RandomBot,VICTORY,0,1
212,RandomBot,DEFEAT,0,2
213,RandomBot,DEFEAT,0,3
214,RandomBot,DEFEAT,1,2
215,RandomBot,DEFEAT,0,2
216,RandomBot,DEFEAT,0,9
217,RandomBot,DEFEAT,0,1
218,RandomBot,DEFEAT,0,4
219,RandomBot,DEFEAT,0,3
220,RandomBot,DEFEAT,0,4
221,RandomBot,DEFEAT,0,1
222,RandomBot,DEFEAT,0,2
223,RandomBot,DEFEAT,0,3
224,RandomBot,DEFEAT,0,2
225,RandomBot,DEFEAT,0,2
226,RandomBot,DEFEAT,0,3
227,RandomBot,DEFEAT,0,4
228,RandomBot,DEFEAT,0,3
229,RandomBot,DEFEAT,0,2
230,RandomBot,DEFEAT,0,2
231,RandomBot,DEFEAT,0,2
232,RandomBot,DEFEAT,2,5
233,RandomBot,DEFEAT,1,3
234,RandomBot,VICTORY,0,6
235,RandomBot,DEFEAT,0,6
236,RandomBot,DEFEAT,0,4
237,RandomBot,DEFEAT,0,4
238,RandomBot,DEFEAT,0,3
239,RandomBot,DEFEAT,0,2
240,RandomBot,DEFEAT,0,3
241,RandomBot,DEFEAT,0,2
242,RandomBot,VICTORY,0,1
243,RandomBot,DEFEAT,0,6
244,RandomBot,DEFEAT,0,2
245,RandomBot,DEFEAT,0,2
246,RandomBot,VICTORY,0,1
247,RandomBot,DEFEAT,0,2
248,RandomBot,DEFEAT,0,4
249,RandomBot,DEFEAT,0,3
250,RandomBot,DEFEAT,0,1
251,RandomBot,DEFEAT,0,4
252,RandomBot,DEFEAT,0,3
253,RandomBot,DEFEAT,0,3
254,RandomBot,DEFEAT,0,2
255,RandomBot,DEFEAT,0,2
256,RandomBot,DEFEAT,0,2
257,RandomBot,VICTORY,0,2
258,RandomBot,DEFEAT,0,2
259,RandomBot,DEFEAT,0,2
260,RandomBot,VICTORY,0,2
261,RandomBot,DEFEAT,0,2
262,RandomBot,VICTORY,0,3
263,RandomBot,VICTORY,0,3
264,RandomBot,DEFEAT,0,3
265,RandomBot,DEFEAT,0,3
266,RandomBot,DEFEAT,0,2
267,RandomBot,DEFEAT,0,3
268,RandomBot,DEFEAT,0,2
269,RandomBot,DEFEAT,0,2
270,RandomBot,DEFEAT,0,3
271,RandomBot,DEFEAT,0,3
272,RandomBot,DEFEAT,0,2
273,RandomBot,DEFEAT,0,1
274,RandomBot,VICTORY,0,2
275,RandomBot,DEFEAT,0,3
276,RandomBot,DEFEAT,0,4
277,RandomBot,DEFEAT,0,3
278,RandomBot,DEFEAT,0,2
279,RandomBot,DEFEAT,0,4
280,RandomBot,DEFEAT,0,2
281,RandomBot,DEFEAT,0,4
282,RandomBot,DEFEAT,0,5
283,RandomBot,DEFEAT,0,3
284,RandomBot,DEFEAT,0,2
285,RandomBot,DEFEAT,0,1
286,RandomBot,DEFEAT,0,2
287,RandomBot,DEFEAT,0,4
288,RandomBot,DEFEAT,0,3
289,RandomBot,VICTORY,0,3
290,RandomBot,DEFEAT,0,2
291,RandomBot,VICTORY,0,3
292,RandomBot,DEFEAT,0,2
293,RandomBot,DEFEAT,0,3
294,RandomBot,DEFEAT,0,2
295,RandomBot,DEFEAT,0,1
296,RandomBot,VICTORY,0,2
297,RandomBot,DEFEAT,0,5
298,RandomBot,DEFEAT,0,3
299,RandomBot,DEFEAT,0,2
300,RandomBot,DEFEAT,0,3
301,RandomBot,DEFEAT,0,2
302,RandomBot,DEFEAT,0,5
303,RandomBot,DEFEAT,0,3
304,RandomBot,VICTORY,0,1
305,RandomBot,DEFEAT,0,2
306,RandomBot,DEFEAT,0,3
307,RandomBot,VICTORY,0,2
308,RandomBot,DEFEAT,0,2
309,RandomBot,DEFEAT,0,5
310,RandomBot,DEFEAT,0,4
311,RandomBot,DEFEAT,0,2
312,RandomBot,VICTORY,0,3
313,RandomBot,DEFEAT,0,4
314,RandomBot,DEFEAT,0,2
315,RandomBot,DEFEAT,0,2
316,RandomBot,VICTORY,0,1
317,RandomBot,DEFEAT,0,3
318,RandomBot,DEFEAT,0,2
319,RandomBot,DEFEAT,0,3
320,RandomBot,DEFEAT,0,5
321,RandomBot,DEFEAT,0,3
322,RandomBot,DEFEAT,0,5
323,RandomBot,DEFEAT,0,2
324,RandomBot,DEFEAT,0,4
325,RandomBot,DEFEAT,0,4
326,RandomBot,DEFEAT,0,2
327,RandomBot,VICTORY,0,3
328,RandomBot,DEFEAT,0,2
329,RandomBot,DEFEAT,0,3
330,RandomBot,DEFEAT,0,2
331,RandomBot,DEFEAT,0,2
332,RandomBot,DEFEAT,0,3
333,RandomBot,DEFEAT,0,5
334,RandomBot,DEFEAT,0,1
335,RandomBot,VICTORY,0,1
336,RandomBot,DEFEAT,0,3
337,RandomBot,DEFEAT,0,3
338,RandomBot,DEFEAT,0,3
339,RandomBot,VICTORY,0,2
340,RandomBot,DEFEAT,0,3
341,RandomBot,DEFEAT,0,2
342,RandomBot,DEFEAT,0,2
343,RandomBot,DEFEAT,0,3
344,RandomBot,DEFEAT,0,4
345,RandomBot,DEFEAT,0,2
346,RandomBot,DEFEAT,0,4
347,RandomBot,DEFEAT,0,3
348,RandomBot,DEFEAT,0,2
349,RandomBot,DEFEAT,0,2
350,RandomBot,VICTORY,0,3
351,RandomBot,DEFEAT,0,3
352,RandomBot,DEFEAT,0,4
353,RandomBot,DEFEAT,0,2
354,RandomBot,VICTORY,0,2
355,RandomBot,DEFEAT,0,2
356,RandomBot,DEFEAT,0,3
357,RandomBot,DEFEAT,0,3
358,RandomBot,DEFEAT,0,2
359,RandomBot,DEFEAT,0,3
360,RandomBot,VICTORY,0,2
361,RandomBot,DEFEAT,0,3
362,RandomBot,DEFEAT,0,3
363,RandomBot,DEFEAT,0,4
364,RandomBot,DEFEAT,0,3
365,RandomBot,DEFEAT,0,2
366,RandomBot,DEFEAT,0,2
367,RandomBot,DEFEAT,0,4
368,RandomBot,DEFEAT,0,3
369,RandomBot,DEFEAT,0,2
370,RandomBot,DEFEAT,0,2
371,RandomBot,DEFEAT,0,8
372,RandomBot,DEFEAT,0,4
373,RandomBot,DEFEAT,0,2
374,RandomBot,DEFEAT,0,2
375,RandomBot,DEFEAT,0,3
376,RandomBot,DEFEAT,0,2
377,RandomBot,DEFEAT,0,3
378,RandomBot,VICTORY,0,2
379,RandomBot,DEFEAT,0,2
380,RandomBot,DEFEAT,0,5
381,RandomBot,DEFEAT,0,3
382,RandomBot,DEFEAT,0,5
383,RandomBot,DEFEAT,0,5
384,RandomBot,VICTORY,0,1
385,RandomBot,VICTORY,0,3
386,RandomBot,VICTORY,0,1
387,RandomBot,DEFEAT,0,4
388,RandomBot,DEFEAT,0,3
389,RandomBot,VICTORY,0,1
390,RandomBot,DEFEAT,0,3
391,RandomBot,VICTORY,0,2
